rowid,fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,payee_name_clean,payee_zip5,payee_name_refined,slug
133,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BONTAY BUSINESS PRODUCTS,21502,35000.2,NA,NA,BONTAY BUSINESS PRODUCTS,21502,BONTAY BUSINESS PRODUCTS,allegany-county
134,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SALEM CHILDREN'S TRUST,21532,34563.82,NA,NA,SALEM CHILDREN'S TRUST,21532,SALEM CHILDREN'S TRUST,allegany-county
135,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ASSISTIVE TECHNOLOGY COMPANY,89107,34550,NA,NA,ASSISTIVE TECHNOLOGY COMPANY,89107,ASSISTIVE TECHNOLOGY COMPANY,allegany-county
136,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,GARBER'S ICE CREAM COMPANY,22602,33497.42,NA,NA,GARBER'S ICE CREAM COMPANY,22602,GARBER'S ICE CREAM COMPANY,allegany-county
137,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,FACILITY ENGINEERING ASSOCIATES PC,22033,33318,NA,NA,FACILITY ENGINEERING ASSOCIATES PC,22033,FACILITY ENGINEERING ASSOCIATES PC,allegany-county
138,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ELIZABETH V DOLLY,21555,32089,NA,NA,ELIZABETH V DOLLY,21555,ELIZABETH V DOLLY,allegany-county
139,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,GARY HANNA,21502,31551.2,NA,NA,GARY HANNA,21502,GARY HANNA,allegany-county
140,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LAKESHORE LEARNING MATERIALS,90895,30826.88,NA,NA,LAKESHORE LEARNING MATERIALS,90895,LAKESHORE LEARNING MATERIALS,allegany-county
141,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LEARNING WITHOUT TEARS,20878,30686.44,NA,NA,LEARNING WITHOUT TEARS,20878,LEARNING WITHOUT TEARS,allegany-county
142,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,THE MARYLAND SCHOOL FOR THE BLIND,21236,30518.36,NA,NA,THE MARYLAND SCHOOL FOR THE BLIND,21236,MARYLAND SCHOOL FOR THE BLIND,allegany-county
143,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DOURON INC,21117,30463.58,NA,NA,DOURON INC,21117,DOURON INC,allegany-county
144,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,FRONTLINE TECHNOLOGIES INC,1178-0577,30372.36,NA,NA,FRONTLINE TECHNOLOGIES INC,1178-,FRONTLINE TECHNOLOGIES GROUP,allegany-county
145,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ALLEGANY COUNTY COMMISSIONERS,21502,30287.9,NA,NA,ALLEGANY COUNTY COMMISSIONERS,21502,ALLEGANY COUNTY COMMISSIONERS,allegany-county
146,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,FPC DISTRIBUTION,21075,29988.95,NA,NA,FPC DISTRIBUTION,21075,FPC DISTRIBUTION,allegany-county
147,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BUREAU FOR CHILD SUPPORT ENFORCEMENT,25321,29906.43,NA,NA,BUREAU FOR CHILD SUPPORT ENFORCEMENT,25321,BUREAU FOR CHILD SUPPORT ENFORCEMENT,allegany-county
148,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BALTIMORE COUNTY PUBLIC SCHOOLS,21204,29808,NA,NA,BALTIMORE COUNTY PUBLIC SCHOOLS,21204,BALTIMORE COUNTY PUBLIC SCHOOLS,allegany-county
149,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MAGGIE DREW,21532,29377.96,NA,NA,MAGGIE DREW,21532,MAGGIE DREW,allegany-county
150,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,RE MICHEL COMPANY INC,21203,29320.22,NA,NA,RE MICHEL COMPANY INC,21203,RE MICHEL COMPANY,allegany-county
151,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SCHOOL HEALTH CORPORATION,60678-1067,28061.1,NA,NA,SCHOOL HEALTH CORPORATION,60678,SCHOOL HEALTH CORP,allegany-county
152,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,RACHEL WYER LLC,26726,27431.71,NA,NA,RACHEL WYER LLC,26726,RACHEL WYER LLC,allegany-county
153,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,STATE OF MARYLAND,21203-0084,27398.89,NA,NA,STATE OF MARYLAND,21203,STATE OF MARYLAND,allegany-county
154,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MARYLAND CHILD SUPPORT ACCOUNT,21297-1396,27035.94,NA,NA,MARYLAND CHILD SUPPORT ACCOUNT,21297,MARYLAND CHILD SUPPORT ENFORCEMENT,allegany-county
155,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BOB MCCLOSKEY INSURANCE,07747,26643.85,NA,NA,BOB MCCLOSKEY INSURANCE,07747,BOB MCCLOSKEY INSURANCE,allegany-county
156,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,"GEPPERT, MCMULLEN, PAYE & GETTY",21502,26162.5,NA,NA,"GEPPERT MCMULLEN, PAYE & GETTY",21502,"GEPPERT MCMULLEN, PAYE & GETTY",allegany-county
157,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,QUILL CORPORATION,19101-0600,25984.85,NA,NA,QUILL CORPORATION,19101,QUILL CORPORATION,allegany-county
158,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WARD'S NATURAL SCIENCE EST LLC,15264-4312,25712.17,NA,NA,WARD'S NATURAL SCIENCE EST LLC,15264,WARD'S NATURAL SCIENCE EST LLC,allegany-county
159,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,LINK COMPUTER CORPORATION,16617-0250,25548.39,NA,NA,LINK COMPUTER CORPORATION,16617,LINK COMPUTER CORPORATION,allegany-county
160,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CURRICULUM ASSOCIATES LLC,31193,25425.86,NA,NA,CURRICULUM ASSOCIATES LLC,31193,CURRICULUM ASSOCIATES,allegany-county
161,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CAREFIRST BLUE CROSS,21117,195673228.47,NA,NA,CAREFIRST BLUE CROSS,21117,CAREFIRST BLUECROSS BLUESHIELD,anne-arundel-county
162,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ELECTRONIC FUNDS TRANSF PROG,80217-3788,155308576.83,NA,NA,ELECTRONIC FUNDS TRANSF PROG,80217,ELECTRONIC FUNDS TRANSF PROG,anne-arundel-county
163,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MD STATE RETIREMENT SYSTEM,21201,75577471.66,NA,NA,MD STATE RETIREMENT SYSTEM,21201,MARYLAND STATE RETIREMENT & PENSION SYSTEM,anne-arundel-county
164,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,COMPTROLLER OF MARYLAND,21401,41194739.77,NA,NA,COMPTROLLER OF MARYLAND,21401,COMPTROLLER OF MARYLAND,anne-arundel-county
165,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,VALIC RETIREMENT SERVICES CO,77019,23122132.16,NA,NA,VALIC RETIREMENT SERVICES CO,77019,VALIC RETIREMENT SERVICES CO,anne-arundel-county
166,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TOWSON MECHANICAL INC,21234,18119114.41,NA,NA,TOWSON MECHANICAL INC,21234,TOWSON MECHANICAL,anne-arundel-county
167,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,URBAN N ZINK CONTRACTOR INC,21027,13300121.7,NA,NA,URBAN N ZINK CONTRACTOR INC,21027,URBAN N ZINK CONTRACTOR INC,anne-arundel-county
168,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Monarch Academy Public Charter School,21234,11346453.21,NA,NA,MONARCH ACADEMY PUBLIC CHARTER SCHOOL,21234,MONARCH ACADEMY PUBLIC CHARTER SCHOOL,anne-arundel-county
169,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DISYS,20147,10755797.88,NA,NA,DISYS,20147,DISYS,anne-arundel-county
170,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"KaRon Masonry of Maryland, Inc.",20763,10594557.88,NA,NA,KARON MASONRY OF MARYLAND INC,20763,KARON MASONRY OF MARYLAND INC,anne-arundel-county
171,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,U S BANK,63179-0428,10115638.56,NA,NA,U S BANK,63179,US BANK,anne-arundel-county
172,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SA HALAC IRON WORKS INC,20166,9867441.46,NA,NA,SA HALAC IRON WORKS INC,20166,SA HALAC IRON WORKS INC,anne-arundel-county
173,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HP FINANCIAL SERVICES CORP.,07922,9191527.53,NA,NA,HP FINANCIAL SERVICES CORP,07922,HP FINANCIAL SERVICES CORP,anne-arundel-county
174,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"WGL ENERGY SERVICES, INC.",21093,8998479.66,NA,NA,WGL ENERGY SERVICES INC,21093,WGL ENERGY SERVICES,anne-arundel-county
175,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,PHILLIPS WAY INC,21048,8948526.45,NA,NA,PHILLIPS WAY INC,21048,PHILLIPS WAY INC,anne-arundel-county
176,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,KENNEDY KRIEGER INSTITUTE,21205,8376345.6,NA,NA,KENNEDY KRIEGER INSTITUTE,21205,KENNEDY KRIEGER INSTITUTE,anne-arundel-county
177,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ENTERPRISE ELECTRIC,21213,8168246.31,NA,NA,ENTERPRISE ELECTRIC,21213,ENTERPRISE ELECTRIC,anne-arundel-county
178,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Smith Bus Service Inc,60693-0322,8128743.88,NA,NA,SMITH BUS SERVICE INC,60693,SMITH BUS SERVICE INC,anne-arundel-county
179,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CDW LLC DBA CDW Government LLC,06484,7360190.08,NA,NA,CDW LLC DBA CDW GOVERNMENT LLC,06484,CDW LLC DBA CDW GOVERNMENT LLC,anne-arundel-county
180,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DORI FOOD INC,23230,7108827.29,NA,NA,DORI FOOD INC,23230,DORI FOOD INC,anne-arundel-county
181,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ANNAPOLIS BUS CO INC,21403,7089103.5,NA,NA,ANNAPOLIS BUS CO INC,21403,ANNAPOLIS BUS CO INC,anne-arundel-county
182,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Sheppard Pratt Health System Inc DBA Forbush School,21031,7062832.72,NA,NA,SHEPPARD PRATT HEALTH SYSTEM INCDBA FORBUSH SCHOOL,21031,SHEPPARD PRATT HEALTH SYSTEM INC,anne-arundel-county
183,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DENVER-ELEK INC,21221,6712173.23,NA,NA,DENVER-ELEK INC,21221,DENVER-ELEK INC,anne-arundel-county
184,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ELECTRICAL AUTOMATION SERVICES,21122,6420334.74,NA,NA,ELECTRICAL AUTOMATION SERVICES,21122,ELECTRICAL AUTOMATION SERVICES,anne-arundel-county
185,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,VATICA CONTRACTING INC,20781,6321944.72,NA,NA,VATICA CONTRACTING INC,20781,VATICA CONTRACTING INC,anne-arundel-county
186,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BALTIMORE GAS & ELECTRIC CO,19101-3070,5928703.33,NA,NA,BALTIMORE GAS & ELECTRIC CO,19101,BALTIMORE GAS & ELECTRIC,anne-arundel-county
187,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"G H Nitzel, Inc.",21162,5360826.36,NA,NA,G H NITZEL INC,21162,G H NITZEL INC,anne-arundel-county
188,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ZEPHYR ALUMINUM INC,21784,5323112.77,NA,NA,ZEPHYR ALUMINUM INC,21784,ZEPHYR ALUMINUM INC,anne-arundel-county
189,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WILLIAM KLINGENSMITH INC,20740,5300251.36,NA,NA,WILLIAM KLINGENSMITH INC,20740,WILLIAM KLINGENSMITH INC,anne-arundel-county
190,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GEORGE MOEHRLE MASONRY INC,21703-7849,5020116.02,NA,NA,GEORGE MOEHRLE MASONRY INC,21703,GEORGE MOEHRLE MASONRY INC,anne-arundel-county
191,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,JUBBS BUS SERVICE INC,21060,4793011.24,NA,NA,JUBBS BUS SERVICE INC,21060,JUBBS BUS SERVICE INC,anne-arundel-county
192,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TEACHERS ASSOCIATION OF ANNE ARUNDEL CO,21401,4742069.37,NA,NA,TEACHERS ASSOCIATION OF ANNE ARUNDEL CO,21401,TEACHERS ASSOCIATION OF ANNE ARUNDEL CO,anne-arundel-county
193,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"BALTIMORE CONTRACTORS, INC",21061,4606703.03,NA,NA,BALTIMORE CONTRACTORS INC,21061,BALTIMORE CONTRACTORS INC,anne-arundel-county
194,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CITIROOF CORPORATION,21046-1577,4569629.16,NA,NA,CITIROOF CORPORATION,21046,CITIROOF CORPORATION,anne-arundel-county
195,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,KEY SYSTEMS INC,21162,4514068.4,NA,NA,KEY SYSTEMS INC,21162,KEY SYSTEMS INC,anne-arundel-county
196,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GE TIGNALL,21030,4445818.3,NA,NA,GE TIGNALL,21030,GE TIGNALL,anne-arundel-county
197,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CANYON CONTRACTING INC.,21771-7784,4343977.07,NA,NA,CANYON CONTRACTING INC,21771,CANYON CONTRACTING INC,anne-arundel-county
198,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BOWINGS & HUBER LLC DBA: BOMARK ELECTRIC,21074,4334000.79,NA,NA,BOWINGS & HUBER LLC DBA: BOMARK ELECTRIC,21074,BOWINGS & HUBER LLC DBA: BOMARK ELECTRIC,anne-arundel-county
199,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LONERGAN'S CHARTER SERVICE INC,21108,4213195.17,NA,NA,LONERGAN'S CHARTER SERVICE INC,21108,LONERGAN'S CHARTER SERVICE INC,anne-arundel-county
200,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HOMEWOOD GENERAL CONTRACTORS,21030,4206825.03,NA,NA,HOMEWOOD GENERAL CONTRACTORS,21030,HOMEWOOD GENERAL CONTRACTORS,anne-arundel-county
201,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"ANNE ARUNDEL COUNTY, MD ACCOUNTING & CONTROL",21404,3989151.43,NA,NA,ANNE ARUNDEL COUNTY MD ACCOUNTING & CONTROL,21404,ANNE ARUNDEL COUNTY MD ACCOUNTING & CONTROL,anne-arundel-county
202,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HARBOUR SCHOOL,21409,3935319.55,NA,NA,HARBOUR SCHOOL,21409,HARBOUR SCHOOL,anne-arundel-county
203,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LOCUST LANE FARMS INC,20773,3919492.72,NA,NA,LOCUST LANE FARMS INC,20773,LOCUST LANE FARMS INC,anne-arundel-county
204,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,JACOBS PROJECT MANAGEMENT CO,22201,3822090.65,NA,NA,JACOBS PROJECT MANAGEMENT CO,22201,JACOBS PROJECT MANAGEMENT CO,anne-arundel-county
205,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SPECIALIZED EDUC OF MD INC,08103,3718838.13,NA,NA,SPECIALIZED EDUC OF MD INC,08103,SPECIALIZED EDUC OF MD INC,anne-arundel-county
206,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TEMP-AIR COMPANY INC,21117,3667096.49,NA,NA,TEMP-AIR COMPANY INC,21117,TEMP-AIR COMPANY INC,anne-arundel-county
207,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DALY COMPUTERS INC,20871,3618898.98,NA,NA,DALY COMPUTERS INC,20871,DALY COMPUTERS INC,anne-arundel-county
208,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"ACTION ELECTRICAL CONTRACTORS, INC",21001,3160069.19,NA,NA,ACTION ELECTRICAL CONTRACTORS INC,21001,ACTION ELECTRICAL CONTRACTORS,anne-arundel-county
209,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CHESAPEAKE CHARTER INC,21409,3144927.63,NA,NA,CHESAPEAKE CHARTER INC,21409,CHESAPEAKE CHARTER INC,anne-arundel-county
210,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,RE WILSON & SONS INC,21032,2908747.89,NA,NA,RE WILSON & SONS INC,21032,RE WILSON & SONS INC,anne-arundel-county
211,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CROFTON CHARTERS INC .,21054,2887457.46,NA,NA,CROFTON CHARTERS INC,21054,CROFTON CHARTERS INC,anne-arundel-county
212,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NORTH POINT BUILDERS INC,21222-1031,2885747.78,NA,NA,NORTH POINT BUILDERS INC,21222,NORTH POINT BUILDERS INC,anne-arundel-county
213,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MBG ENTERPRISES,21077,2805858.33,NA,NA,MBG ENTERPRISES,21077,MBG ENTERPRISES,anne-arundel-county
214,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,MARYLAND MECHANICAL SYSTEMS,21224,2672189.92,NA,NA,MARYLAND MECHANICAL SYSTEMS,21224,MARYLAND MECHANICAL SYSTEMS,anne-arundel-county
215,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TECH CONTRACTING CO INC,21224,2661739.86,NA,NA,TECH CONTRACTING CO INC,21224,TECH CONTRACTING CO INC,anne-arundel-county
216,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SODY CONCRETE CONSTRUCTION INC,21236,2660664.64,NA,NA,SODY CONCRETE CONSTRUCTION INC,21236,SODY CONCRETE CONSTRUCTION INC,anne-arundel-county
217,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,M3 Contracting LLC,19713,2639996.42,NA,NA,M3 CONTRACTING LLC,19713,M3 CONTRACTING LLC,anne-arundel-county
218,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,HUBERS II INC,21061,2602318.86,NA,NA,HUBERS II INC,21061,HUBERS II INC,anne-arundel-county
219,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,J VINTON SCHAFER & SONS INC,21009,2578909.64,NA,NA,J VINTON SCHAFER & SONS INC,21009,J VINTON SCHAFER & SONS,anne-arundel-county
220,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DISCOVERY BENEFITS,58103,2570886.31,NA,NA,DISCOVERY BENEFITS,58103,DISCOVERY BENEFITS,anne-arundel-county
221,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,Huntington & Hopkins Inc,21031,2381775.14,NA,NA,HUNTINGTON & HOPKINS INC,21031,HUNTINGTON & HOPKINS INC,anne-arundel-county
222,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"PAPCO, iNC.",19014,2376611.1,NA,NA,PAPCO INC,19014,PAPCO INC,anne-arundel-county
223,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CBRE Heery Inc,20785,2284984.82,NA,NA,CBRE HEERY INC,20785,CBRE HEERY INC,anne-arundel-county
224,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WHITING TURNER CONTRACTING CO,21286,2242254.46,NA,NA,WHITING TURNER CONTRACTING CO,21286,WHITING-TURNER CONTRACTING,anne-arundel-county
225,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CHESAPEAKE SCIENCE POINT,21076,2147567.46,NA,NA,CHESAPEAKE SCIENCE POINT,21076,CHESAPEAKE SCIENCE POINT,anne-arundel-county
226,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SIMPSON OF MARYLAND INC,21076-3108,2050776.75,NA,NA,SIMPSON OF MARYLAND INC,21076,SIMPSON OF MARYLAND,anne-arundel-county
227,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GARY L AISQUITH,21140,1990852.52,NA,NA,GARY L AISQUITH,21140,GARY L AISQUITH,anne-arundel-county
228,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CLOVERLAND DAIRY LP,21218,1938686.15,NA,NA,CLOVERLAND DAIRY LP,21218,CLOVERLAND DAIRY LP,anne-arundel-county
229,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"LEN SEC, LLC",77042,1898713.37,NA,NA,LEN SEC LLC,77042,LEN SEC LLC,anne-arundel-county
230,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"ST ELIZABETH SCHOOL, INC",21218,1890765.82,NA,NA,ST ELIZABETH SCHOOL INC,21218,ST ELIZABETH SCHOOL INC,anne-arundel-county
231,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,SMOLEN EMR ILKOVITCH ARCHITECTS,20850,1854135.23,NA,NA,SMOLEN EMR ILKOVITCH ARCHITECTS,20850,SMOLEN EMR ILKOVITCH ARCHITECTS,anne-arundel-county
232,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,DOURON INC,21117,1841543.92,NA,NA,DOURON INC,21117,DOURON INC,anne-arundel-county
233,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CHILDREN'S GUILD INC,21234,1809393.22,NA,NA,CHILDREN'S GUILD INC,21234,CHILDREN'S GUILD INSTITUTE,anne-arundel-county
234,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BROOKS TRANSPORTATION,21122,1782226.14,NA,NA,BROOKS TRANSPORTATION,21122,BROOKS TRANSPORTATION,anne-arundel-county
235,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,STEEL PRODUCTS INC,20850,1753915.41,NA,NA,STEEL PRODUCTS INC,20850,STEEL PRODUCTS INC,anne-arundel-county
236,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CIGNA,21046,1729828.22,NA,NA,CIGNA,21046,CIGNA,anne-arundel-county
237,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,STELLA MAY CONTRACTING INC,21040,1727383.61,NA,NA,STELLA MAY CONTRACTING INC,21040,STELLA MAY CONTRACTING INC,anne-arundel-county
238,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,VERIZON,75266-0720,1713504.81,NA,NA,VERIZON,75266,VERIZON,anne-arundel-county
239,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,NorthStar Contracting Group,21227,1710181,NA,NA,NORTHSTAR CONTRACTING GROUP,21227,NORTHSTAR CONTRACTING GROUP,anne-arundel-county
240,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Brawner Builders, Inc.",21031,1684896.91,NA,NA,BRAWNER BUILDERS INC,21031,BRAWNER BUILDERS INC,anne-arundel-county
241,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Ricoh USA, Inc",21230,1660894.47,NA,NA,RICOH USA INC,21230,RICOH USA INC,anne-arundel-county
242,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LANE'S BUS SERVICE INC,20776,1604980.41,NA,NA,LANE'S BUS SERVICE INC,20776,LANE'S BUS SERVICE INC,anne-arundel-county
243,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,BALDWIN MECHANICAL CONTRACTORS,21237,1561597.12,NA,NA,BALDWIN MECHANICAL CONTRACTORS,21237,BALDWIN MECHANICAL CONTRACTORS,anne-arundel-county
244,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CGI Technologies and Solutions Inc,12211,1537124.98,NA,NA,CGI TECHNOLOGIES AND SOLUTIONS INC,12211,CGI TECHNOLOGIES AND SOLUTIONS INC,anne-arundel-county
245,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"CAN-AM CONTRACTORS, INC.",20705,1530960.58,NA,NA,CAN-AM CONTRACTORS INC,20705,CAN-AM CONTRACTORS INC,anne-arundel-county
246,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,EMPLOYEE PLANS SERVICES INC,20910,1506934.53,NA,NA,EMPLOYEE PLANS SERVICES INC,20910,EMPLOYEE PLANS SERVICES INC,anne-arundel-county
247,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CGC Holdings Inc dba Capital Seaboard,20794,1496320.9,NA,NA,CGC HOLDINGS INCDBA CAPITAL SEABOARD,20794,CGC HOLDINGS INCDBA CAPITAL SEABOARD,anne-arundel-county
248,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,LINWOOD CHILDRENS CENTER,21043,1411751,NA,NA,LINWOOD CHILDRENS CENTER,21043,LINWOOD CHILDRENS CENTER,anne-arundel-county
249,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"J.A. ARGETAKIS CONTRACTING CO., INC.",21224,1341517.04,NA,NA,JA. ARGETAKIS CONTRACTING CO. INC,21224,JA ARGETAKIS CONTRACTING CO INC,anne-arundel-county
250,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ASTRO TURF CORP,30721,1295255,NA,NA,ASTRO TURF CORP,30721,ASTROTURF CORPORATION,anne-arundel-county
251,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,CT ELECTRICAL CORP,21035,1291815.58,NA,NA,CT ELECTRICAL CORP,21035,CT ELECTRICAL CORP,anne-arundel-county
252,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,"Gradient Construction, LLC",20732,1259688.31,NA,NA,GRADIENT CONSTRUCTION LLC,20732,GRADIENT CONSTRUCTION LLC,anne-arundel-county
253,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,WILSON'S BUS SERVICE INC,21122,1253914.11,NA,NA,WILSON'S BUS SERVICE INC,21122,WILSON'S BUS SERVICE INC,anne-arundel-county
254,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,McGraw-Hill Education Inc,43218-2605,1239954.19,NA,NA,MCGRAW-HILL EDUCATION INC,43218,MCGRAW-HILL COMPANIES,anne-arundel-county
255,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,TRANE COMPANY,21031,1231411.15,NA,NA,TRANE COMPANY,21031,TRANE COMPANY,anne-arundel-county
256,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,ATLASCOPCO CONSTRUCTION CO,20877,1225038.11,NA,NA,ATLASCOPCO CONSTRUCTION CO,20877,ATLASCOPCO CONSTRUCTION CO,anne-arundel-county
257,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,GRIMM AND PARKER PC,20705,1218512.92,NA,NA,GRIMM AND PARKER PC,20705,GRIMM AND PARKER ARCHITECTURE,anne-arundel-county
258,2019,ANNE ARUNDEL CO. PUBLIC SCHOOLS,COLLEGE BOARD,10281,1209692,NA,NA,COLLEGE BOARD,10281,COLLEGE BOARD,anne-arundel-county
